osm_id,osm_latitude,osm_longitude,osm_name,osm_operator,osm_capacity,osm_fee,osm_sockets
14028000688,-35.2418293,149.1268271,,Exploren,6,yes,type2:output
14089613013,-35.2388816,149.0717617,,Evie Networks,4,,chademo; type2_combo
14105992281,-36.4147399,148.6179842,,bp pulse,,yes,chademo; type2_combo
14113976572,-35.1864275,149.1356065,,AmpCharge,6,,type2_combo; type2_combo:output
14113976573,-35.1845817,149.1328278,,Exploren,6,,chademo; type2_combo; type2_combo:output
14113976574,-35.1840955,149.1304665,,Exploren,2,,type2_combo; type2_combo:output
14132970332,-35.3207304,149.1346341,,Evie Networks,4,,chademo; type2_combo
14175182691,-35.4132764,149.1278865,,bp pulse,2,,type2_combo
4016257448,-34.7554799,149.7209942,Tesla Supercharger,Tesla,8,yes,tesla_supercharger; tesla_supercharger:output; tesla_supercharger_ccs; tesla_supercharger_ccs:output
5758577851,-36.2231879,150.1284524,Tesla Supercharger,Tesla,4,yes,type2_combo; type2_combo:output
6165583448,-34.4500909,150.4424531,,NRMA,1,no,chademo; chademo:output; type2_combo; type2_combo:output
6165583449,-34.4501399,150.4519627,ChargePoint,ChargePoint,1,,
6489763087,-34.775569,150.7008205,,NRMA,,,
6512442081,-35.7084845,150.1752344,,NRMA,1,no,chademo; chademo:output; type2_combo; type2_combo:output
6525751310,-34.8082768,150.6367014,Tesla Supercharger,Tesla,6,yes,type2_combo; type2_combo:output
6711862737,-36.6731502,149.8431789,,NRMA,2,,chademo; type2_combo
6914659544,-34.436581,150.8633339,,Chargefox,,,
7021322234,-34.7479333,149.7496197,,Chargefox,3,yes,chademo; chademo:output; type2_combo; type2_combo:output
7370327570,-35.7099111,150.1774214,,Evie Networks,1,no,type2_combo; type2_combo:output
9121818285,-36.8951652,149.9120037,Tesla Destination Charger,"Tesla, Inc.",,,
9366873533,-34.5878761,150.8661667,,Chargefox,,,
9765677232,-34.607274,150.2250985,,Evie Networks,6,,type2_combo
9786977964,-34.4952775,150.7957656,,Evie Networks,,,
10026076729,-35.7096667,150.173894,,NRMA,2,,chademo; type2_combo
10263943171,-34.7190997,149.9958809,,BP Pulse,,,chademo; type2_combo
10263943172,-34.7184231,150.0006494,,BP Pulse,,,chademo; type2_combo
10744631135,-34.6092951,150.2298378,Tesla Supercharger,Tesla,6,yes,tesla_supercharger
10792695777,-34.7722611,149.6927672,,Chargefox,2,,type2_combo
10815562193,-34.437819,150.8634156,Wollongong Supercharger,Tesla,4,yes,type2_combo; type2_combo:output
11060799096,-35.2577259,149.4397081,,Exploren,,yes,
11140224982,-34.4880018,150.4138196,Tesla Destination Charger,Tesla,6,yes,
11221609471,-34.4857516,150.8064303,,AmpCharge,,,
11365114635,-34.4467455,150.43701,,Evie Networks,,,chademo; type2_combo
11927615171,-36.0862522,150.0494289,Tesla Destination Charger,Bodalla Cheese Factory,,,
12284563526,-36.6968576,149.8415044,,Chargefox,,yes,type2_combo
12564147445,-34.7728854,149.6927921,Tesla Supercharger,Tesla,20,yes,type2_combo
12564202178,-37.5580193,149.7582614,,Central Victorian Greenhouse Alliance,,,chademo; type2_combo
12599800358,-35.3576676,150.4733075,,,,,chademo; type2_combo
12599818149,-35.3679732,150.4707849,,Exploren,,,type2
12644131941,-35.4426269,149.7917234,,NRMA,2,yes,chademo; type2_combo
12644710826,-35.2577457,149.4397985,,Exploren,,yes,
12757268383,-34.4670358,150.413066,,Exploren,4,yes,type2
12854473381,-35.7186596,150.1900931,Tesla Supercharger,Tesla,6,,type2_combo
12963857532,-34.5624354,150.8395656,,AmpCharge,10,,type2_combo; type2_combo:output
13244748958,-36.6785407,149.8450775,,Exploren,4,,type2
13244827463,-35.913824,150.0792424,,NRMA,2,,type2_combo
13244874411,-37.0777375,149.8755206,,Exploren,,,type2
13309552143,-34.5519973,150.7881099,,AmpCharge,2,,type2_combo
13393835582,-34.5543827,150.36457,,NRMA,5,,chademo; type2; type2_combo
13566011211,-36.8856518,149.907078,Merimbula Supercharger,Tesla,8,yes,type2_combo
13954740522,-34.9160116,150.6048383,Tesla Supercharger,Tesla,12,,type2_combo
6926521128,-34.18882,142.162711,,NRMA,,,chademo; type2_combo
9344898113,-31.9596719,141.4595159,,NRMA,,,
9470340169,-31.5575066,143.3857829,,NRMA,,,
11749050171,-34.2098649,142.1405924,Tesla Supercharger,Tesla,4,yes,tesla_supercharger
6456722833,-32.2499278,148.6091712,Tesla Supercharger,Tesla,4,yes,type2_combo
6460796546,-33.9237229,147.2036752,,NRMA,4,,chademo; chademo:output; type2_combo; type2_combo:output
6460798626,-34.3117299,148.2950671,,NRMA,1,no,chademo; chademo:output; type2_combo; type2_combo:output
6460800322,-33.1375197,148.1726877,,NRMA,4,,chademo; chademo:output; type2_combo; type2_combo:output
6759463884,-32.2493739,148.609354,,NRMA,2,,type2_combo
7384135909,-31.2787465,149.2791803,,NRMA,2,,chademo; chademo:output; type2_combo; type2_combo:output
8190129317,-33.280911,149.0994869,Tesla Destination Charger,Tesla,,,
8192505717,-33.3333919,149.0432132,Tesla Destination Charger,"Tesla, Inc.",,,
8253300980,-33.8340931,148.6944413,,NRMA,,no,chademo; chademo:output; type1_combo; type1_combo:output
9619986125,-33.8354773,148.6817349,Tesla Destination Charger,Tesla,2,no,type2_cable; type2_cable:current; type2_cable:voltage
9712759905,-31.4988063,145.8376295,,NRMA,,,
10048386532,-31.5643351,147.1969608,,NRMA,,,
11749053754,-33.283593,149.0954226,Tesla Supercharger,Tesla,,,
11963693701,-34.2992293,146.0783037,,Chargefox,,,type2_combo
12024063277,-34.2921105,146.0518678,Tesla Supercharger,Tesla,6,,type2_combo
12195801696,-33.3841189,148.0099258,,Exploren,4,,type2; type2:output; type2_combo; type2_combo:output
12221169446,-33.1410109,148.174695,Parkes Supercharger,Tesla,4,yes,type2_combo
12986963882,-32.1956615,148.8979684,,Hair of the Dog Hotel,4,yes,
12986977106,-32.375799,149.277724,,Hall committee,1,yes,
13833992860,-33.2814536,149.1027586,,NRMA,2,yes,type2_combo; type2_combo:output
13928456263,-34.3538338,146.9019292,,Exploren,,,type2; type2:output; type2_combo; type2_combo:output
14039076690,-33.2806147,149.102941,,Exploren,4,yes,type2; type2:output
14039088101,-33.2553363,149.0961362,,Exploren,2,yes,type2; type2:output
3488644749,-32.9358797,151.6438477,ChargePoint,ChargePoint,,,type1
5047210796,-33.5212508,151.3749048,,Tesla Motors,,,
5047211383,-34.4075897,150.8812521,ChargePoint,ChargePoint,,no,type1
5438383393,-33.8829291,151.1946269,Tesla Supercharger,Tesla,8,yes,tesla_supercharger
5865178390,-33.8682863,151.2063604,,,,no,
6305536144,-33.9285142,151.186122,Tesla Destination Charger,Tesla,,,
6460587589,-31.4361396,152.8236754,Tesla Supercharger,Tesla,6,yes,type2_combo; type2_combo:output
6489744914,-33.4191414,149.5867462,,NRMA,1,,chademo; type2_combo
6489797683,-32.0990505,152.3814131,,NRMA,2,,chademo; type2_combo
6517096170,-33.3101932,151.420595,Tesla Supercharger,Tesla,,yes,tesla_supercharger
6595579456,-33.8460153,151.0698417,,NRMA,2,no,type2_combo; type2_combo:output
6656233420,-33.4780086,150.1610665,,NRMA,2,yes,chademo; type2_combo
6753244994,-33.796509,151.1833697,,JET Charge,2,,
6816990777,-32.7878111,151.7276848,Tesla Supercharger,Tesla,6,yes,tesla_supercharger; tesla_supercharger:output; tesla_supercharger_ccs; tesla_supercharger_ccs:output
6961675434,-32.9291638,151.7720103,,Chargefox,22,yes,
6965043248,-32.9302558,151.7607437,,Chargefox,50,yes,
6965043249,-32.9302851,151.7607424,,Chargefox,22,yes,
6965043250,-32.9303144,151.760741,,Chargefox,22,yes,
6965052432,-33.8763052,151.1778386,Tesla Supercharger,Tesla,4,no,type2_combo; type2_combo:output
6965112603,-32.9028042,151.6906686,ChargePoint,ChargePoint,7,yes,
6965116701,-32.9026832,151.6697747,,NRMA,50,yes,
6965116702,-32.9026703,151.6698001,,NRMA,50,yes,
6965143040,-33.9138057,151.2391178,,Chargefox,2,no,type2_combo
6967754081,-33.9053712,151.2129122,,Chargefox,,,
7042825731,-32.6539082,151.9625258,,Chargefox,3,yes,chademo; chademo:output; type2_combo; type2_combo:output
7237598406,-33.7708416,150.8452155,,Chargefox,,,
7270664150,-33.7781529,151.1207792,Tesla Supercharger,Tesla,10,yes,tesla_supercharger
7375482623,-32.7742468,151.2946203,,NRMA,,,
7401170459,-33.9306373,151.2464722,,,,,
7476003934,-32.1997712,152.5199677,,,,yes,
7612252206,-31.9433485,152.4706099,,Evie Networks,2,yes,chademo; chademo:output; type2_combo; type2_combo:output
7842335713,-33.4257824,149.5813787,,EO,2,,
7853821459,-31.4581377,152.8274176,,NRMA,4,no,type2_combo; type2_combo:output
7862093042,-33.8908025,151.2762714,,,,,
7959130026,-32.0503836,150.8665578,,NRMA,2,,
8148294052,-33.7693688,150.7352534,,,,,
8163934715,-32.593669,149.586206,,NRMA,,,
8169947525,-33.7671436,150.9548236,,Evie Networks,350,yes,chademo; type2_combo
8241597113,-33.8255622,151.2414269,,Evie Networks,2,,
8302152508,-33.4190492,149.5866349,Tesla Supercharger,Tesla,6,yes,tesla_supercharger
8390250930,-31.4637923,152.8221638,,NRMA,4,,chademo; chademo:output; type2_combo; type2_combo:output
8570161417,-32.9599116,151.6240709,,Chargefox,,,
8613733552,-32.935565,151.644388,Tesla Destination Charger,Tesla,,yes,
8613757404,-32.9033741,151.6676792,Tesla Destination Charger,Tesla,1,,
8613757405,-32.903365,151.6677058,Tesla Destination Charger,Tesla,1,,
8634205901,-32.8918933,151.7019405,,,2,,
